sweep_time,choch_time,type,price
2024-09-18 15:30:00,2024-09-18 16:00:00,SSL_SWEEP,1.3206
2024-09-20 03:15:00,2024-09-20 05:45:00,SSL_SWEEP,1.3275
2024-09-30 17:30:00,2024-09-30 17:45:00,SSL_SWEEP,1.3373
2024-09-30 19:15:00,2024-09-30 21:00:00,BSL_SWEEP,1.33963
2024-10-04 20:00:00,2024-10-04 20:00:00,SSL_SWEEP,1.31233
2024-10-08 10:00:00,2024-10-08 10:45:00,SSL_SWEEP,1.30672
2024-10-08 09:45:00,2024-10-08 10:45:00,SSL_SWEEP,1.30743
2024-10-10 14:00:00,2024-10-10 15:00:00,BSL_SWEEP,1.3089
2024-10-14 22:00:00,2024-10-14 23:15:00,SSL_SWEEP,1.3042
2024-10-16 03:15:00,2024-10-16 04:45:00,SSL_SWEEP,1.30601
2024-10-17 10:15:00,2024-10-17 12:45:00,SSL_SWEEP,1.2977
2024-10-17 12:00:00,2024-10-17 12:45:00,SSL_SWEEP,1.29758
2024-10-30 11:00:00,2024-10-30 11:30:00,BSL_SWEEP,1.30124
2024-11-06 05:15:00,2024-11-06 05:30:00,BSL_SWEEP,1.29025
2024-11-08 13:30:00,2024-11-08 14:45:00,BSL_SWEEP,1.29757
2024-11-08 11:00:00,2024-11-08 13:15:00,SSL_SWEEP,1.2962
2024-11-15 12:15:00,2024-11-15 12:30:00,SSL_SWEEP,1.26567
2024-11-19 03:00:00,2024-11-19 05:15:00,SSL_SWEEP,1.26693
2024-11-20 13:45:00,2024-11-20 15:45:00,SSL_SWEEP,1.26622
2024-11-27 15:45:00,2024-11-27 16:00:00,SSL_SWEEP,1.2662
2024-11-20 16:00:00,2024-11-20 16:15:00,BSL_SWEEP,1.26741
2024-11-21 15:30:00,2024-11-21 18:00:00,BSL_SWEEP,1.26514
2024-11-25 16:00:00,2024-11-25 17:45:00,BSL_SWEEP,1.26047
2024-11-26 09:00:00,2024-11-26 11:00:00,SSL_SWEEP,1.25473
2024-11-29 15:45:00,2024-11-29 17:45:00,SSL_SWEEP,1.26818
2024-12-02 12:15:00,2024-12-02 14:45:00,BSL_SWEEP,1.2708
2024-12-03 17:30:00,2024-12-03 18:45:00,SSL_SWEEP,1.26384
2024-12-04 09:00:00,2024-12-04 09:15:00,BSL_SWEEP,1.26957
2024-12-04 14:45:00,2024-12-04 17:00:00,SSL_SWEEP,1.26626
2024-12-04 15:00:00,2024-12-04 17:00:00,SSL_SWEEP,1.26608
2024-12-10 05:30:00,2024-12-10 07:45:00,SSL_SWEEP,1.27384
2024-12-11 09:00:00,2024-12-11 09:30:00,BSL_SWEEP,1.27619
2024-12-12 12:30:00,2024-12-12 14:00:00,BSL_SWEEP,1.27564
2024-12-18 10:15:00,2024-12-18 12:45:00,SSL_SWEEP,1.26834
2024-12-18 18:00:00,2024-12-18 20:15:00,SSL_SWEEP,1.26845
2024-12-24 17:30:00,2024-12-24 18:45:00,BSL_SWEEP,1.25406
2024-12-24 20:30:00,2024-12-24 22:45:00,SSL_SWEEP,1.25286
2024-12-27 13:15:00,2024-12-27 13:15:00,SSL_SWEEP,1.25373
2024-12-30 16:30:00,2024-12-30 16:30:00,BSL_SWEEP,1.25481
2024-12-27 12:15:00,2024-12-27 13:15:00,SSL_SWEEP,1.25146
2024-12-27 08:00:00,2024-12-27 09:45:00,SSL_SWEEP,1.25184
2024-12-27 10:15:00,2024-12-27 11:30:00,BSL_SWEEP,1.25297
2024-12-27 12:30:00,2024-12-27 13:15:00,SSL_SWEEP,1.25182
2024-12-31 10:00:00,2024-12-31 12:15:00,BSL_SWEEP,1.25537
2025-01-07 09:15:00,2025-01-07 10:15:00,BSL_SWEEP,1.25539
2025-01-10 14:45:00,2025-01-10 15:30:00,BSL_SWEEP,1.23158
2025-01-10 15:30:00,2025-01-10 15:30:00,BSL_SWEEP,1.2308
2025-01-14 00:00:00,2025-01-14 00:45:00,SSL_SWEEP,1.21924
2025-01-16 02:00:00,2025-01-16 04:00:00,BSL_SWEEP,1.22415
2025-01-20 15:30:00,2025-01-20 15:30:00,SSL_SWEEP,1.22272
2025-01-17 04:30:00,2025-01-17 06:30:00,BSL_SWEEP,1.22402
2025-01-20 01:15:00,2025-01-20 03:45:00,SSL_SWEEP,1.21602
